B01001_003E,B01001_027E,B01003_001E,B11003_003E,B11001_002E,B11003_002E,B11004_002E,B11004_004E,B19013_001E,B25064_001E,B25088_002E,B25077_001E,B25034_001E,B25002_003E,B14003_003E,B14003_004E,B15003_017E,B15003_022E,B08013_001E,B25044_003E,GEOID
31,25,1203,45,145,134,134,22,97917,1238,2600,504600,664,78,,,80,311,,0,371830501001
9,22,2874,18,285,265,265,8,101058,1788,2938,423300,1249,72,,,168,626,,13,371830501002
0,0,1110,0,134,107,107,0,109196,1778,1931,395300,1191,427,,,36,482,,0,371830501003
0,17,1723,73,250,230,230,18,67536,996,1917,293600,1235,198,,,63,650,,18,371830503001
0,0,605,0,35,31,31,0,72083,1259,2526,403400,556,76,,,70,184,,0,371830503002
0,0,1022,0,229,229,229,0,122651,1478,2148,386100,775,24,,,30,719,,0,371830503003
29,28,1110,70,297,273,273,34,136667,1464,1893,396600,565,23,,,36,392,,0,371830504001
0,5,813,8,93,41,41,0,47045,1003,2724,658300,332,4,,,116,113,,0,371830504002
19,105,1409,116,333,324,324,39,132917,1333,2619,442900,784,27,,,7,355,,0,371830505001
42,43,1727,121,443,352,352,70,82273,1151,2258,422800,1070,114,,,180,730,,15,371830505002
10,27,673,68,161,123,123,27,-666666666,1083,1856,348800,307,29,,,8,95,,0,371830505003
0,10,1337,8,101,34,34,0,59375,541,-666666666,-666666666,246,92,,,55,8,,0,371830506001
36,36,876,0,218,65,65,0,40759,962,1091,326900,496,119,,,134,125,,0,371830506002
126,79,1357,170,365,311,311,137,156905,1315,2206,550200,551,51,,,43,394,,0,371830506003
79,0,1151,70,246,114,114,48,45293,865,1595,358900,535,18,,,114,243,,1,371830507001
0,0,456,9,71,39,39,0,41111,1088,1553,237500,375,93,,,43,181,,0,371830507002
18,67,1671,50,289,142,142,0,50833,775,1346,202600,672,32,,,297,142,,45,371830507003
78,5,1066,49,195,84,84,12,32270,952,1830,231700,453,42,,,226,59,,4,371830508001
43,41,733,25,151,30,30,3,33750,888,1086,271400,377,100,,,108,165,,0,371830508002
10,20,1760,0,45,10,10,0,26979,924,-666666666,330600,163,30,,,337,59,,0,371830508003
18,7,1418,17,175,70,70,10,55741,701,2050,427800,258,10,,,164,66,,0,371830509001
0,31,783,5,111,16,16,0,38696,979,2125,450000,474,60,,,81,214,,0,371830509002
26,40,525,6,112,62,62,0,27934,814,1719,343800,329,112,,,96,64,,15,371830509003
0,8,1393,8,127,80,80,8,65284,1293,2078,375900,1122,103,,,108,498,,27,371830510001
56,34,1124,70,214,181,181,51,71205,1132,2313,496100,564,39,,,22,398,,0,371830510002
0,0,3542,0,0,0,0,0,-666666666,-666666666,-666666666,-666666666,0,0,,,0,0,,0,371830511011
64,39,1705,35,219,78,78,16,30903,948,2594,-666666666,568,35,,,239,130,,28,371830511012
0,0,530,0,0,0,0,0,-666666666,-666666666,-666666666,-666666666,0,0,,,0,0,,0,371830511021
0,0,3243,0,0,0,0,0,-666666666,-666666666,-666666666,-666666666,0,0,,,0,24,,0,371830511022
0,0,770,0,29,24,24,0,20391,760,-666666666,-666666666,76,13,,,102,32,,0,371830511023
0,11,1567,0,225,200,200,0,59328,1485,1795,409900,1076,38,,,39,396,,0,371830512001
14,40,1083,63,131,131,131,33,56645,1366,2642,552600,790,74,,,51,244,,0,371830512002
37,0,2013,72,227,215,215,39,-666666666,1387,2734,708600,832,131,,,11,381,,0,371830512003
0,0,844,60,164,115,115,0,112649,1202,3057,637300,419,12,,,0,216,,0,371830514001
87,0,1054,93,156,126,126,71,70375,1086,2204,656000,421,54,,,50,90,,0,371830514002
0,13,656,28,115,96,96,12,65612,1138,1927,520400,502,141,,,0,257,,0,371830514003
0,0,1075,0,61,22,22,0,18974,1334,-666666666,581300,440,52,,,39,171,,0,371830514004
68,42,1502,150,337,281,281,39,97383,828,2939,609900,569,24,,,61,423,,0,371830514005
24,43,1680,170,424,373,373,43,83292,1123,2853,630800,794,57,,,233,627,,0,371830515011
