STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Male_under_5,Female_under_5,Total_Population,Households_with_Children_under_6,Total_Family_Households,Households_with_Children_under_1,Married_couple_Households,Married_couple_with_Children_und,Median_Household_Income,Median_Gross_Rent,Monthly_Owner_Costs__with_mortga,Median_Housing_Value,Median_Year_Structure_Built,Vacant_Housing_Units,Nursery_School_Enrollment,Kindergarten_Enrollment,Some_College,Bachelor_s_Degree_or_Higher,Mean_Travel_Time_to_Work,Households_with_No_Vehicle,Children_under_5,__Children_under_5,__Households_with_Children_under,__Married_couple_Households,__Married_couple_with_Children_u,Distance_to_Office__miles_,Travel_Time_to_Office__minutes_,has_grocery_store,has_park,has_bike_trail
37,063,002019,1,370630020191,1500000US370630020191,Block Group 1,G5030,S,4885136,51127,+35.9033751,-078.9763406,0,62,1621,22,272,206,206,22,63475,1215,3652,537200,1083,132,,,155,311,,0,62,3.824799506477483,8.088235294117647,75.73529411764706,8.088235294117647,13.921308427405569,23.86510016126669,0,0,0
37,063,002020,1,370630020201,1500000US370630020201,Block Group 1,G5030,S,7053910,190334,+35.8836714,-078.9598590,139,70,2528,287,732,658,658,49,162067,1793,2193,361000,982,41,,,75,364,,0,209,8.26740506329114,39.20765027322404,89.89071038251366,6.693989071038252,12.606906772555451,21.611840181523633,0,0,1
37,063,001806,1,370630018061,1500000US370630018061,Block Group 1,G5030,S,3377611,93260,+36.0054078,-078.8097880,0,146,2782,420,799,565,565,114,94205,1662,1385,210800,984,20,,,55,552,,0,146,5.24802300503235,52.56570713391739,70.71339173967459,14.267834793491865,13.567275423464991,23.2581864402257,0,0,0
37,063,001808,2,370630018082,1500000US370630018082,Block Group 2,G5030,S,4429008,16941,+35.9626638,-078.8290804,130,51,3051,312,1076,890,890,85,114851,1413,2091,321300,1429,54,,,221,1137,,19,181,5.932481153720092,28.99628252788104,82.71375464684016,7.899628252788105,11.057359409257003,18.955473273012004,0,1,0
37,063,002024,1,370630020241,1500000US370630020241,Block Group 1,G5030,S,586893,0,+35.9250081,-078.9415460,75,45,1233,107,263,194,194,51,104276,1155,1157,207000,634,0,,,72,283,,23,120,9.732360097323602,40.68441064638783,73.76425855513308,19.39163498098859,13.157935011954637,22.556460020493663,0,0,1
37,063,002026,1,370630020261,1500000US370630020261,Block Group 1,G5030,S,1458717,80965,+35.9448085,-078.9112401,271,102,3462,205,855,298,298,39,41372,1254,1213,179100,1253,146,,,321,252,,19,373,10.774119006354708,23.976608187134502,34.85380116959064,4.56140350877193,12.805068983546466,21.9515468289368,0,1,1
37,063,980100,1,370639801001,1500000US370639801001,Block Group 1,G5030,S,20983663,188875,+35.9038564,-078.8659073,0,0,0,0,0,0,0,0,-666666666,-666666666,-666666666,-666666666,0,0,,,0,0,,0,0,,,,,9.086601729079858,15.577031535565473,0,1,1
37,183,052906,3,371830529063,1500000US371830529063,Block Group 3,G5030,S,4346350,0,+35.6359342,-078.6626481,86,36,1048,96,205,171,171,13,70882,-666666666,1552,241200,368,0,,,276,90,,0,122,11.641221374045802,46.82926829268293,83.41463414634146,6.341463414634147,13.314700926017075,22.825201587457844,0,0,0
37,183,053205,2,371830532052,1500000US371830532052,Block Group 2,G5030,S,3255409,240125,+35.6388491,-078.8134116,15,70,1972,232,552,434,434,54,95893,1436,2228,339900,951,145,,,208,512,,0,85,4.310344827586207,42.028985507246375,78.62318840579711,9.782608695652174,12.83475398326391,22.00243539988099,0,1,1
37,183,052811,1,371830528111,1500000US371830528111,Block Group 1,G5030,S,1480086,0,+35.7492069,-078.5400325,0,0,884,59,286,127,127,0,69538,-666666666,1136,178400,286,0,,,160,83,,0,0,0.0,20.62937062937063,44.40559440559441,0.0,12.621908402290021,21.637557261068608,0,0,1
37,183,053721,3,371830537213,1500000US371830537213,Block Group 3,G5030,S,3146363,33872,+35.9261018,-078.7114141,27,60,1455,168,504,504,504,50,175852,-666666666,2756,474000,544,0,,,44,624,,22,87,5.979381443298969,33.33333333333333,100.0,9.920634920634921,7.843996775745386,13.446851615563519,0,0,0
37,183,053615,1,371830536151,1500000US371830536151,Block Group 1,G5030,S,1396187,0,+35.8953409,-078.7952541,0,0,1754,100,471,416,416,0,95891,1381,2333,-666666666,1154,53,,,251,455,,0,0,0.0,21.231422505307858,88.32271762208069,0.0,6.068057432449737,10.402384169913834,1,1,1
37,183,052508,2,371830525082,1500000US371830525082,Block Group 2,G5030,S,1846850,0,+35.8343920,-078.7067017,37,0,1721,193,403,403,403,18,165051,-666666666,1702,499500,838,52,,,135,374,,0,37,2.149912841371296,47.8908188585608,100.0,4.466501240694789,2.7235352659700847,4.6689175988058595,0,1,1
37,183,053206,2,371830532062,1500000US371830532062,Block Group 2,G5030,S,7747130,99379,+35.6222055,-078.8310701,110,67,1931,245,601,451,451,70,106450,1235,2019,385300,722,48,,,104,312,,0,177,9.166235111341274,40.765391014975044,75.04159733777038,11.647254575707153,14.36906304032315,24.632679497696827,0,0,1
37,183,053612,2,371830536122,1500000US371830536122,Block Group 2,G5030,S,990413,0,+35.8316879,-078.8365103,179,51,2565,367,644,535,535,98,130568,1532,1755,311100,805,0,,,301,687,,22,230,8.966861598440545,56.98757763975155,83.07453416149069,15.217391304347828,5.015163643002208,8.597423388003785,0,1,1
37,183,053005,4,371830530054,1500000US371830530054,Block Group 4,G5030,S,2931530,0,+35.7175973,-078.7709001,24,106,2156,247,672,634,634,31,191750,-666666666,2101,484100,716,0,,,98,835,,0,130,6.029684601113173,36.75595238095239,94.34523809523809,4.613095238095238,6.866560378172624,11.77124636258164,0,1,1
37,183,053011,4,371830530114,1500000US371830530114,Block Group 4,G5030,S,805464,9043,+35.7545404,-078.7246526,28,58,990,85,137,137,137,85,102505,1230,-666666666,-666666666,733,36,,,0,127,,0,86,8.686868686868687,62.04379562043796,100.0,62.04379562043796,4.49699150570365,7.709128295491972,0,1,0
37,183,053003,5,371830530035,1500000US371830530035,Block Group 5,G5030,S,2130594,0,+35.7577805,-078.7373901,0,0,770,0,67,55,55,0,-666666666,1645,-666666666,-666666666,630,251,,,41,249,,0,0,0.0,0.0,82.08955223880598,0.0,4.0455966554859115,6.935308552261563,1,0,1
37,183,053620,4,371830536204,1500000US371830536204,Block Group 4,G5030,S,2989877,6950,+35.8301263,-078.8690757,112,44,1530,224,306,280,280,13,139597,1599,2440,422400,528,14,,,53,481,,0,156,10.196078431372548,73.20261437908496,91.50326797385621,4.248366013071895,7.048159268531362,12.082558746053763,0,1,1
37,183,053003,3,371830530033,1500000US371830530033,Block Group 3,G5030,S,1166541,0,+35.7419347,-078.7486458,43,29,1537,135,393,370,370,37,67744,1133,2582,415900,973,186,,,92,379,,0,72,4.68445022771633,34.35114503816794,94.14758269720102,9.414758269720101,5.081649628842739,8.711399363730411,0,1,1
37,183,052303,1,371830523031,1500000US371830523031,Block Group 1,G5030,S,523416,3719,+35.7470353,-078.6799210,12,11,1358,41,100,81,81,24,97531,1940,1255,207600,596,89,,,28,674,,0,23,1.6936671575846833,41.0,81.0,24.0,6.078711442612959,10.420648187336502,0,1,0
37,183,054214,1,371830542141,1500000US371830542141,Block Group 1,G5030,S,15339165,281274,+35.9152592,-078.4248452,29,45,931,130,225,225,225,0,127589,-666666666,2288,414800,289,14,,,96,158,,6,74,7.9484425349087005,57.77777777777777,100.0,0.0,19.399356464094126,33.25603965273279,0,1,0
37,183,054117,1,371830541171,1500000US371830541171,Block Group 1,G5030,S,1196803,0,+35.8404121,-078.5530097,22,63,2166,198,529,380,380,12,96186,1871,1449,239200,662,42,,,191,483,,0,85,3.9242843951985225,37.42911153119093,71.83364839319471,2.2684310018903595,11.157754483404254,19.127579114407293,0,0,0
37,183,053109,3,371830531093,1500000US371830531093,Block Group 3,G5030,S,7547590,178822,+35.6145610,-078.7643604,185,17,3323,368,865,748,748,86,101563,2271,1820,311400,992,0,,,161,594,,12,202,6.078844417694854,42.54335260115607,86.47398843930635,9.942196531791907,13.871228778377446,23.779249334361335,0,1,1
37,183,053620,1,371830536201,1500000US371830536201,Block Group 1,G5030,S,1460882,0,+35.8446026,-078.8640170,30,50,1360,123,285,200,200,0,101806,1828,1660,272500,600,27,,,18,330,,45,80,5.88235294117647,43.15789473684211,70.17543859649122,0.0,6.738236750876425,11.551263001502443,0,1,1
37,183,054220,3,371830542203,1500000US371830542203,Block Group 3,G5030,S,5544069,0,+35.9312010,-078.5523569,49,17,2145,106,561,226,226,17,33448,869,1852,223600,1328,200,,,134,270,,39,66,3.076923076923077,18.89483065953654,40.28520499108734,3.0303030303030303,13.628234859705717,23.362688330924087,0,1,1
37,183,054220,2,371830542202,1500000US371830542202,Block Group 2,G5030,S,4811970,0,+35.9252587,-078.5391712,30,67,822,166,234,189,189,126,116250,1654,1601,239500,352,38,,,50,229,,0,97,11.800486618004866,70.94017094017094,80.76923076923077,53.84615384615385,14.010279679599446,24.017622307884764,0,1,1
37,183,054220,1,371830542201,1500000US371830542201,Block Group 1,G5030,S,3363562,0,+35.9424727,-078.5227409,136,75,2408,290,606,484,484,42,125833,1223,2394,367600,866,0,,,171,523,,14,211,8.762458471760798,47.85478547854785,79.86798679867987,6.9306930693069315,15.433886604499817,26.458091321999685,0,1,1
37,183,054112,2,371830541122,1500000US371830541122,Block Group 2,G5030,S,7323388,0,+35.8199845,-078.4773878,124,183,2765,352,669,455,455,124,65400,1175,1775,277200,986,0,,,268,597,,11,307,11.103074141048824,52.615844544095665,68.01195814648729,18.53512705530643,15.2770499106103,26.189228418189085,0,1,1
37,183,054502,1,371830545021,1500000US371830545021,Block Group 1,G5030,S,1256893,0,+35.7597736,-078.6445188,14,123,1088,87,200,87,87,0,51346,1585,-666666666,-666666666,260,0,,,77,86,,0,137,12.591911764705882,43.5,43.5,0.0,7.038632262831409,12.066226736282415,0,1,1
